Ec X,Ec Y,Ev X,Ev Y,Efn X,Efn Y,Efp X,Efp Y
0.37224907,0.31638329,0.37224907,-0.80777594,0.37224907,-0.035601532,0.37224907,-0.59999915
0.375,0.31638396,0.375,-0.80777527,0.375,-0.035410756,0.375,-0.59999915
0.37537408,0.31638405,0.37537408,-0.80777518,0.37537408,-0.03538503,0.37537408,-0.59999915
0.37812501,0.31638472,0.37812501,-0.80777451,0.37812501,-0.035195834,0.37812501,-0.59999914
0.37849906,0.31638482,0.37849906,-0.80777442,0.37849906,-0.035170319,0.37849906,-0.59999914
0.38124999,0.31638548,0.38124999,-0.80777375,0.38124999,-0.034982677,0.38124999,-0.59999913
0.38162407,0.31638558,0.38162407,-0.80777366,0.38162407,-0.03495737,0.38162407,-0.59999913
0.38437501,0.31638624,0.38437501,-0.80777299,0.38437501,-0.034771258,0.38437501,-0.59999912
0.38474905,0.31638634,0.38474905,-0.8077729,0.38474905,-0.034746155,0.38474905,-0.59999912
0.38749999,0.31638701,0.38749999,-0.80777223,0.38749999,-0.034561547,0.38749999,-0.59999912
0.38787407,0.3163871,0.38787407,-0.80777213,0.38787407,-0.034536646,0.38787407,-0.59999912
0.390625,0.31638777,0.390625,-0.80777147,0.390625,-0.034353518,0.390625,-0.59999911
0.39099908,0.31638786,0.39099908,-0.80777137,0.39099908,-0.034328815,0.39099908,-0.59999911
0.39375001,0.31638853,0.39375001,-0.80777071,0.39375001,-0.034147143,0.39375001,-0.5999991
0.39412406,0.31638862,0.39412406,-0.80777061,0.39412406,-0.034122635,0.39412406,-0.5999991
0.39687499,0.31638929,0.39687499,-0.80776995,0.39687499,-0.033942397,0.39687499,-0.5999991
0.39724907,0.31638938,0.39724907,-0.80776985,0.39724907,-0.033918081,0.39724907,-0.5999991
0.40000001,0.31639005,0.40000001,-0.80776919,0.40000001,-0.033739254,0.40000001,-0.59999909
0.40037405,0.31639014,0.40037405,-0.80776909,0.40037405,-0.033715126,0.40037405,-0.59999909
0.40312499,0.31639081,0.40312499,-0.80776842,0.40312499,-0.033537688,0.40312499,-0.59999908
0.40349907,0.3163909,0.40349907,-0.80776833,0.40349907,-0.033513747,0.40349907,-0.59999908
0.40625,0.31639157,0.40625,-0.80776766,0.40625,-0.033337677,0.40625,-0.59999908
0.40662408,0.31639166,0.40662408,-0.80776757,0.40662408,-0.033313918,0.40662408,-0.59999907
0.40937501,0.31639233,0.40937501,-0.8077669,0.40937501,-0.033139195,0.40937501,-0.59999907
0.40974906,0.31639242,0.40974906,-0.80776681,0.40974906,-0.033115617,0.40974906,-0.59999907
0.41249999,0.31639309,0.41249999,-0.80776615,0.41249999,-0.032942219,0.41249999,-0.59999906
0.41287407,0.31639318,0.41287407,-0.80776605,0.41287407,-0.032918819,0.41287407,-0.59999906
0.41562501,0.31639385,0.41562501,-0.80776539,0.41562501,-0.032746727,0.41562501,-0.59999905
0.41599905,0.31639394,0.41599905,-0.80776529,0.41599905,-0.032723502,0.41599905,-0.59999905
0.41874999,0.31639461,0.41874999,-0.80776463,0.41874999,-0.032552697,0.41874999,-0.59999905
0.41912407,0.3163947,0.41912407,-0.80776453,0.41912407,-0.032529644,0.41912407,-0.59999905
